User,Created_at,Tweet
@citizentvkenya,2019-04-12 09:04:03,"Leo tunaangazia mila na tamaduni za Waluo 
#SemaNaCitizen
@LuluHassan 
@hassanmugambi https://t.co/QKNrciq8tS"
@citizentvkenya,2019-04-12 08:58:30,Former CNN presenter Soni Methu dies in a Diani hotel https://t.co/gUlGdYC6sQ via @edailykenya https://t.co/b2zlvWBIQh
@citizentvkenya,2019-04-12 08:56:37,"Polisi waanzisha oparesheni kuwaokoa madaktari wa Cuba waliotekwa nyara Mandera, msemaji wa Polisi Charles Owino as… https://t.co/Pb7uRTfg7f"
@citizentvkenya,2019-04-12 08:42:58,"This weekend all roads lead to Thika, for the #ChapaDimbanaSafaricom Central Regional finals. Happening on the 13th… https://t.co/tEn8wLk99X"
@citizentvkenya,2019-04-12 08:32:27,Preparations hit top gear ahead of AFCON draw https://t.co/A4xAc3qGKS
@citizentvkenya,2019-04-12 08:21:57,US criticizes Vietnam’s ban on suspected cancer-causing herbicides https://t.co/b7lqmdMg7m
@citizentvkenya,2019-04-12 08:20:57,Nakuru out to topple KCB RFC in Enterprise Cup https://t.co/6dcQatTTg5
@citizentvkenya,2019-04-12 08:08:10,"Bomb explodes in Pakistan market, at least 16 dead https://t.co/Uulifyg4Kb"
@citizentvkenya,2019-04-12 08:07:43,Chelsea fans barred over alleged Salah racist chant https://t.co/s3whzRgKjT
@citizentvkenya,2019-04-12 08:07:23,"Michezo na wanamichezo: Je makipa tulio nao wametosha au ni kubahatisha? 
Tupe maoni yako kwenye #SenaNaCitizen https://t.co/wbLRlzFMgU"
@citizentvkenya,2019-04-12 08:00:47,Come and join us for the #AkotheeFoundationCharityConcert in a bid to help communities affected by the ongoing drou… https://t.co/G7THoEXPgW
@citizentvkenya,2019-04-12 08:00:47,"If you are a car fan, this Sunday the 14th of April make your way to @TwoRivers_KE for the Nairobi Sunset GT. Advan… https://t.co/Q9GiVH1B7X"
@citizentvkenya,2019-04-12 08:00:47,"This Easter Sunday make your way to @TwoRivers_KE for the Pasaka Party 2, at the Two River Grounds. See Poster for… https://t.co/HxF0CDMbbJ"
@citizentvkenya,2019-04-12 07:57:51,"Our July 25, 2018 story on the two Cuban doctors stationed in Mandera. Police say they were abducted suspected Al S… https://t.co/iwthRfAq28"
@citizentvkenya,2019-04-12 07:49:48,"Katika juhudi za kupanua nafasi za kazi kupitia sanaa na  mafunzo kwa kwa jamii, serikali imetakiwa kufungua vituo… https://t.co/RCXpuuQ0nb"
@citizentvkenya,2019-04-12 07:46:04,Waziri Fred Matiangi yuko mjini Kisumu kukagua shughuli ya usajili wa Huduma Namba. Serikali imesema kuwa kuwa taya… https://t.co/j24C0a91dD
@citizentvkenya,2019-04-12 07:41:28,Cuban doctors abducted by suspected Al-Shabaab in Mandera https://t.co/pYBRVhfwI9
@citizentvkenya,2019-04-12 07:39:43,Trump wanted to release Immigrants in ‘democratic strongholds’ https://t.co/TofayBKDrF
@citizentvkenya,2019-04-12 07:36:42,Jaji Mkuu David Maraga anazindua jengo la mahakama ya rufaa mjini Mombasa. Uzinduzi wa mahakama hiyo utarahisisha u… https://t.co/ocrYHxjvDW
@citizentvkenya,2019-04-12 07:28:44,"RT @WildWarriorsTV: Wild dogs are called 'Mbwa mwitu' in Swahili. What do you call them in your mother-tongue?

Find out how they are calle…"
@citizentvkenya,2019-04-12 07:20:17,Habari za hivi punde: Madaktari wawili wa asili ya Cuba wanahofiwa kutekwa nyara katika shambulizi linalokisiwa kuw… https://t.co/NNlL7InvWr
@citizentvkenya,2019-04-12 07:17:28,Matiang'i rallies Kisumu residents to register for Huduma Namba https://t.co/6n0MRnTAho
@citizentvkenya,2019-04-12 07:13:54,Citizen TV Live https://t.co/LNTFFGIJrr
@citizentvkenya,2019-04-12 07:12:19,BREAKING: Cuban doctors abducted by suspected Al-Shabaab in Mandera https://t.co/pYBRVhfwI9
@citizentvkenya,2019-04-12 07:08:06,Mombasa: Chief Justice David Maraga launches Court of Appeal. The court of Appeal would be crucial to making ruling… https://t.co/Uug1o1qoIH
@citizentvkenya,2019-04-12 06:48:21,I was 11 when Omar al-Bashir came to power. Terror is all his people have ever known https://t.co/oYrZZ13gko
@citizentvkenya,2019-04-12 06:45:47,Huduma Namba: The government maintains that the Huduma Namba registration is voluntary and no single Kenyan will be… https://t.co/eC15lQwfE4
@citizentvkenya,2019-04-12 06:42:40,Ali Roba (Governor Mandera County): The drought situation has moved from the state of alert to alarm and if we are… https://t.co/k5D3CqO8nw
@citizentvkenya,2019-04-12 06:36:09,Joy turns to fear in Sudan as army takes control after ousting Bashir https://t.co/zXE2QMgdKz
@citizentvkenya,2019-04-12 06:36:03,Mandera food situation :  Governor Ali Roba says the hunger situation has reached emergency levels. Thousands of pe… https://t.co/h4U4CuLO8Q
@citizentvkenya,2019-04-12 06:35:09,Enjoy free yoga classes Every Saturday of April @TwoRivers_KE CK Square from 10 am – 11 am in partnership with… https://t.co/aJmNAKdrss
@citizentvkenya,2019-04-12 06:31:33,Kenya’s oil exploration skewed solely towards revenues https://t.co/HAaJ9OddQO
@citizentvkenya,2019-04-12 06:30:47,Nyeri hunger: National government supplied food to the residents of Kieni constituency yesterday. Residents are com… https://t.co/cHVH09CeWT
@citizentvkenya,2019-04-12 06:23:47,Citizen TV Live https://t.co/LG91NI3tZj
@citizentvkenya,2019-04-12 06:23:38,"Join us on #Rauka this Sunday from 6AM-9AM.
@Kambua @Kenthadj @andymburu https://t.co/EZQF9ZLhcW"
@citizentvkenya,2019-04-12 06:17:24,Court bars JSC from effecting retirement of 69-year-old Judge Erastus Githinji https://t.co/679C3xz48r
@citizentvkenya,2019-04-12 06:15:27,"Pope Francis kisses feet of President Salva Kiir, Riek Machar – VIDEO https://t.co/lR5nSaqD6U https://t.co/JgliH9edhk"
@citizentvkenya,2019-04-12 06:15:08,"Catch Deejay Papps performing live on #10Over10 this Friday from 10PM.
W/ @WillisRaburu https://t.co/fGzHZcSaFO"
@citizentvkenya,2019-04-12 06:12:44,"Catch Enock Bella on #10Over10 this Friday from 10PM.
w/ @WillisRaburu https://t.co/vGra1m1W85"
@citizentvkenya,2019-04-12 06:05:05,"Join us on #Bambika this Sunday from 11AM - 1PM.
@holydave @timelessnoel1 @djggactivist https://t.co/HnsNTRCYRL"
@citizentvkenya,2019-04-12 05:56:02,"Paul Kobia sues Barclays Bank for threatening to close his accounts 
 https://t.co/EehbDrdhED"
@citizentvkenya,2019-04-12 05:55:14,#ChapaDimbanaSafaricom aims to transform lives of young people by giving them a platform to showcase their talent.… https://t.co/kcEBKFnfjc
@citizentvkenya,2019-04-12 05:40:59,Man arrested for forcefully trying to circumcise his wife https://t.co/b3rrimWM6o
@citizentvkenya,2019-04-12 05:40:18,Ushering in the weekend w/ @RoyTeeboy  @WillisRaburu right here on #LevelUpFridays. Where are you tuned in from?… https://t.co/VAuDy0fKAQ
@citizentvkenya,2019-04-12 05:40:06,"Catch Jovial live on #10Over10 this Friday from 10PM. 
w/ @WillisRaburu https://t.co/eQAx0JjlSX"
@citizentvkenya,2019-04-12 05:36:27,"Trump in 2016: ‘I love WikiLeaks,’ Trump now: ‘I know nothing about WikiLeaks’ https://t.co/0OgiIRDnat"
@citizentvkenya,2019-04-12 05:35:04,"Don't miss an amazing performance by Mumbi live on #10Over10 this Friday from 10PM.
w/ @WillisRaburu https://t.co/QallE8qvc6"
@citizentvkenya,2019-04-12 05:32:00,Man linked to Ivy Wangechi murder suffered skull fracture: doctors https://t.co/uVqPCF3PHN
@citizentvkenya,2019-04-12 05:30:17,Be sure to catch Ycee performing live on #10Over10 this Friday from 10PM w/ @WillisRaburu https://t.co/FiDPeylIht
@citizentvkenya,2019-04-12 05:20:07,"Rico Gang will be performing live on #10Over10 this Friday from 10PM. Don't miss!
w/ @WillisRaburu https://t.co/QUMzdw6Prg"
@citizentvkenya,2019-04-12 05:19:51,Vanessa Ndinda: There is a thin line between what is funny and what is not on social media. People ought to respect… https://t.co/dClPXiJTTc
@citizentvkenya,2019-04-12 05:16:32,Kenya Airways suspends flights to and from Sudan https://t.co/rsfpQItR3A
@citizentvkenya,2019-04-12 05:15:06,"Don't miss a live performance by Eunice Njeri on #Rauka this Sunday from 
6AM-9AM.
@Kambua @Kenthadj @andymburu https://t.co/TpDpSOnndm"
@citizentvkenya,2019-04-12 05:11:44,Harry and Meghan will keep royal baby birth private https://t.co/DepDcPb2ne
@citizentvkenya,2019-04-12 05:10:16,"Don't miss out on the amazing performance by @iam_YCEE on #10Over10 this Friday from 10PM.
w/ @WillisRaburu https://t.co/OItw3yjYVb"
@citizentvkenya,2019-04-12 05:09:34,"Bobi Wine puts Museveni on notice after President Bashir’s ouster 
 https://t.co/1GOxSNhl7t"
@citizentvkenya,2019-04-12 05:03:05,"Suleiman Munyua: Mental health is something we need to look into, especially among the youth

Let us tackle the pro… https://t.co/R0JkMltYsF"
@citizentvkenya,2019-04-12 05:00:37,"Daisy Oloo: There is nothing wrong with getting help. 

#DayBreak
@Zindzi_K
@WaihigaMwaura https://t.co/Bjfz1bEl0s"
@citizentvkenya,2019-04-12 05:00:26,"Join us on #Rauka this Sunday from 6AM-9AM.
@Kambua @Kenthadj @andymburu https://t.co/xTzjNl1nnb"
@citizentvkenya,2019-04-12 04:58:31,"Rufftone: Men have been told not to cry in public. This leads to them keeping quiet, dealing with their issues in s… https://t.co/4WgU7yHbp2"
@citizentvkenya,2019-04-12 04:53:59,Siaya County Gov’t plans to legalize Chang’aa production https://t.co/w3jUO80KVP
@citizentvkenya,2019-04-12 04:48:06,Suleiman Munyua: No book or website can prepare one for rejection…. But one can talk to someone about it #DayBreak https://t.co/OoQDLvDZPI
@citizentvkenya,2019-04-12 04:45:25,Kenya’s Paul Lonyangata is back in France to defend his throne &amp
@citizentvkenya,2019-04-12 04:45:05,"Are men taught how to handle rejection in relationships? 

Rufftone says one needs to know 'who they are'. . .… https://t.co/OvaFV8qqCU"
@citizentvkenya,2019-04-12 04:41:16,White man charged with burning down black churches https://t.co/iqZN7WqCrM
@citizentvkenya,2019-04-12 04:38:00,6 remaining long-serving African heads following Bashir ouster https://t.co/X54xQWt3OX
@citizentvkenya,2019-04-12 04:37:24,"Rufftone: It is unfortunate that society, media push the narrative that nothing is for free.  

#DayBreak
@Zindzi_K… https://t.co/1P2TUvkP22"
@citizentvkenya,2019-04-12 04:34:50,"Suleiman Munyua: Parents should find out who their children’s friends are, what their character is like #DayBreak https://t.co/vf2eKThkJd"
@citizentvkenya,2019-04-12 04:30:19,Rufftone: Men operate in ‘circles’. We take time to open up &amp
@citizentvkenya,2019-04-12 04:30:04,South Sudan frets over whether Sudan coup could derail fragile peace deal https://t.co/xW00VMjiJC
@citizentvkenya,2019-04-12 04:29:00,"Italy, France spar over tackling escalating conflict in Libya https://t.co/uucna0CaJw"
@citizentvkenya,2019-04-12 04:22:57,Daisy Oloo: There is need to have conversations. What values are we passing down to those younger than us?… https://t.co/GkjpANaGd2
@citizentvkenya,2019-04-12 04:20:51,"Suleiman Munyua: Do parents have time to talk to their children about life? 

#DayBreak
@Zindzi_K

@WaihigaMwaura https://t.co/Y9JvhHq6iI"
@citizentvkenya,2019-04-12 04:17:09,Is the current economic situation to blame for issues affecting relationships today? Here’s Rufftone’s take… https://t.co/ysIxHhYbAl
@citizentvkenya,2019-04-12 04:07:05,"900M voters, 8,000 candidates, 460 political parties… Inside India’s General Election https://t.co/kFD3m4c3os"
@citizentvkenya,2019-04-12 04:03:00,"Daisy Oloo: As society, we need to be conscious that we have a responsibility to be each other’s keeper, that the s… https://t.co/76jaKLtbrM"
@citizentvkenya,2019-04-12 04:01:30,Suleiman Munyua: Let’s face it
@citizentvkenya,2019-04-12 03:59:15,"Smith Mwatia aka Rufftone: The young people have refused to follow bad leaders and are now taking charge, demanding… https://t.co/eXcuN0Ovkx"
@citizentvkenya,2019-04-12 03:54:47,"Suleiman Munyua: To the political class, take a walk in your constituencies, talk to the people and find out what t… https://t.co/qV5NaTTn36"
@citizentvkenya,2019-04-12 03:53:38,Suleiman Munyua: A lot of gov’ts have not been accountable to citizens and it looks like people have reached the ‘b… https://t.co/1gXYBAgkUA
@citizentvkenya,2019-04-12 03:51:10,"Daisy Oloo: I was excited to see a young woman at the forefront of the revolution in Sudan #DayBreak

@Zindzi_K… https://t.co/LGrHRIPhVM"
